"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2567","PostresourcerestparameterHandler","eu.fp7.scase.wsat.restparameter.PostresourcerestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PostresourcerestparameterHandler.java",36,1,125,2,0.97446,7,14,7,0.822222,0.873016,74,55,1,2,2,8,6,1,1,15,19,0.6,0.171053,13,3,3,2,0.171053,13,0,0,0,0,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,0,0,44,0,0,0,0,0,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2554","PostrestmethodrestparameterHandler","eu.fp7.scase.wsat.restparameter.PostrestmethodrestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PostrestmethodrestparameterHandler.java",36,1,125,2,0.97446,7,14,7,0.822222,0.873016,74,55,1,2,2,8,6,1,1,15,19,0.6,0.171053,13,3,3,2,0.171053,13,0,0,0,0,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,0,0,44,0,0,0,0,0,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2522","PutresourcerestparameterHandler","eu.fp7.scase.wsat.restparameter.PutresourcerestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PutresourcerestparameterHandler.java",35,1,118,2,0.967254,6,13,6,0.797619,0.859649,67,49,1,2,2,8,5,1,1,10,14,0.6,0.173913,12,3,3,2,0.173913,12,0,0,0,0,0,57,84,6,0,6,0,4,0,4,0,4,32,0,4,0,57,84,6,0,6,0,4,0,4,0,4,32,0,4,0,0,0,40,0,0,0,0,0,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2509","PutrestmethodrestparameterHandler","eu.fp7.scase.wsat.restparameter.PutrestmethodrestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PutrestmethodrestparameterHandler.java",35,1,118,2,0.967254,6,13,6,0.797619,0.859649,67,49,1,2,2,8,5,1,1,10,14,0.6,0.173913,12,3,3,2,0.173913,12,0,0,0,0,0,57,84,6,0,6,0,4,0,4,0,4,32,0,4,0,57,84,6,0,6,0,4,0,4,0,4,32,0,4,0,0,0,40,0,0,0,0,0,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2774","DeleterestmethodHandler","eu.fp7.scase.wsat.restmethod.DeleterestmethodHandler","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\DeleterestmethodHandler.java",34,1,104,2,0.479245,4,11,4,0.56338,0.58,40,29,1,2,2,8,4,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2802","GetrestmethodHandler","eu.fp7.scase.wsat.restmethod.GetrestmethodHandler","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestmethodHandler.java",35,1,118,2,0.874699,5,12,5,0.72619,0.736842,61,42,1,2,2,8,4,1,1,8,12,0.6,0.185714,13,3,3,2,0.185714,13,0,0,0,0,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,0,0,35,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2826","GetrestmethodListHandler","eu.fp7.scase.wsat.restmethod.GetrestmethodListHandler","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestmethodListHandler.java",36,1,125,2,0.886214,6,15,6,0.755556,0.769231,68,50,1,2,2,9,7,1,1,15,19,0.6,0.155844,12,3,3,2,0.155844,12,0,0,0,0,0,65,90,5,1,5,1,4,0,4,0,4,40,0,4,0,65,90,5,1,5,1,4,0,4,0,4,40,0,4,0,0,0,37,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2864","JavarestmethodController","eu.fp7.scase.wsat.restmethod.JavarestmethodController","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestmethodController.java",39,1,75,2,0,0,0,0,0,0,0,0,1,0,0,3,4,1,0,6,9,1,0.228571,8,8,4,0,0.228571,8,0,0,0,0,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2898","JavarestmethodControllerManager","eu.fp7.scase.wsat.restmethod.JavarestmethodControllerManager","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestmethodControllerManager.java",37,1,64,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,4,6,1,0.2,5,5,3,0,0.2,5,0,0,0,0,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2159","JavarestmethodModel","eu.fp7.scase.wsat.restmethod.JavarestmethodModel","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestmethodModel.java",68,1,196,2,0.135065,1,2,1,0.0775194,0.0869565,10,8,7,1,1,18,3,15,21,1,18,0.166667,0.0980392,10,10,3,15,0.0980392,10,0,0,0,0,0,92,129,8,1,8,1,17,0,17,1,17,21,0,17,1,92,129,8,1,8,1,17,0,17,1,17,21,0,17,1,0,0,43,0,0,0,0,0,7,0,1,0,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,0,0
"L2843","JavarestmethodModelManager","eu.fp7.scase.wsat.restmethod.JavarestmethodModelManager","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestmethodModelManager.java",33,1,48,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0.333333,0.166667,2,2,1,2,0.166667,2,0,0,0,0,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2907","PostrestmethodHandler","eu.fp7.scase.wsat.restmethod.PostrestmethodHandler","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PostrestmethodHandler.java",36,1,125,2,0.973948,6,13,6,0.822222,0.873016,74,55,1,2,2,8,6,1,1,15,19,0.6,0.171053,13,3,3,2,0.171053,13,0,0,0,0,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,63,90,6,0,6,0,4,0,4,0,4,38,0,4,0,0,0,44,0,0,0,0,0,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2883","PutrestmethodHandler","eu.fp7.scase.wsat.restmethod.PutrestmethodHandler","L2764","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PutrestmethodHandler.java",36,1,124,2,0.970387,6,13,6,0.808989,0.868852,72,53,1,2,2,8,5,1,1,10,14,0.6,0.175676,13,3,3,2,0.175676,13,0,0,0,0,0,61,89,6,0,6,0,4,0,4,0,4,36,0,4,0,61,89,6,0,6,0,4,0,4,0,4,36,0,4,0,0,0,42,0,0,0,0,0,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
"L3035","DeleterestserviceHandler","eu.fp7.scase.wsat.restservice.DeleterestserviceHandler","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\DeleterestserviceHandler.java",34,1,104,2,0.479245,4,11,4,0.56338,0.58,40,29,1,2,2,8,4,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,50,71,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3063","GetrestserviceHandler","eu.fp7.scase.wsat.restservice.GetrestserviceHandler","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestserviceHandler.java",35,1,118,2,0.874092,5,12,5,0.72619,0.736842,61,42,1,2,2,8,4,1,1,8,12,0.6,0.185714,13,3,3,2,0.185714,13,0,0,0,0,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,57,84,5,1,5,1,4,0,4,0,4,33,0,4,0,0,0,35,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3087","GetrestserviceListHandler","eu.fp7.scase.wsat.restservice.GetrestserviceListHandler","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestserviceListHandler.java",36,1,124,2,0.878505,6,15,6,0.752809,0.765625,67,49,1,2,2,9,5,1,1,12,16,0.6,0.157895,12,3,3,2,0.157895,12,0,0,0,0,0,64,89,5,1,5,1,4,0,4,0,4,39,0,4,0,64,89,5,1,5,1,4,0,4,0,4,39,0,4,0,0,0,37,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3123","JavarestserviceController","eu.fp7.scase.wsat.restservice.JavarestserviceController","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestserviceController.java",39,1,75,2,0,0,0,0,0,0,0,0,1,0,0,3,4,1,0,6,9,1,0.228571,8,8,4,0,0.228571,8,0,0,0,0,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,27,37,1,0,1,0,3,0,3,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3157","JavarestserviceControllerManager","eu.fp7.scase.wsat.restservice.JavarestserviceControllerManager","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestserviceControllerManager.java",37,1,64,2,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,4,6,1,0.2,5,5,3,0,0.2,5,0,0,0,0,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,20,28,1,0,1,0,2,0,2,0,2,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"L384","JavarestserviceModel","eu.fp7.scase.wsat.restservice.JavarestserviceModel","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestserviceModel.java",59,1,193,2,0.148997,1,2,1,0.0740741,0.0842105,10,8,8,1,1,20,3,19,24,1,20,0.15,0.0952381,10,10,3,17,0.0952381,10,0,0,0,0,0,95,135,9,1,9,1,19,0,19,1,19,23,0,19,1,95,135,9,1,9,1,19,0,19,1,19,23,0,19,1,0,0,48,0,0,0,0,0,7,0,1,0,0,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0
"L3104","JavarestserviceModelManager","eu.fp7.scase.wsat.restservice.JavarestserviceModelManager","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestserviceModelManager.java",33,1,48,2,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0.333333,0.166667,2,2,1,2,0.166667,2,0,0,0,0,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"L3166","PostrestserviceHandler","eu.fp7.scase.wsat.restservice.PostrestserviceHandler","L3025","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\PostrestserviceHandler.java",36,1,124,2,0.97234,6,13,6,0.820225,0.870968,73,54,1,2,2,8,4,1,1,12,16,0.6,0.173333,13,3,3,2,0.173333,13,0,0,0,0,0,62,89,6,0,6,0,4,0,4,0,4,37,0,4,0,62,89,6,0,6,0,4,0,4,0,4,37,0,4,0,0,0,42,0,0,0,0,0,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
